pid,artist,location,label,_date,object_type,current_location,source,order,layout,collection,thumbnail,manifest,full
obj1,Nicodemus the Doran,Theia,Map of the Imperium,Anno 3535,map,Imperium Capital Library of Academia Populai,,00,imperium_item,imperium,"/img/derivatives/iiif/images/obj1/full/250,/0/default.jpg",/img/derivatives/iiif/obj1/manifest.json,""
obj2,"Sadikos, The Laughing Shade",Theia,Map of the Journey of 'The Lost',Anno 3536,map,The Lost,,01,imperium_item,imperium,"/img/derivatives/iiif/images/obj2/full/250,/0/default.jpg",/img/derivatives/iiif/obj2/manifest.json,"/img/derivatives/iiif/images/obj2/full/1140,/0/default.jpg"
obj3,Unknown,Theia,"Pottery shard depicting ""Lesser Hundred-Handed One""",Unknown,artifact,The Lost,"Vigil Vault XIII,recovered in Hypernotus",02,imperium_item,imperium,"/img/derivatives/iiif/images/obj3/full/250,/0/default.jpg",/img/derivatives/iiif/obj3/manifest.json,""
obj4,Unknown,Theia,Clay tablet incribed with record of Gigantomachy,Unknown,artifact,The Lost,"Vigil Vault XIII,recovered in Hypernotus",03,imperium_item,imperium,"/img/derivatives/iiif/images/obj4/full/250,/0/default.jpg",/img/derivatives/iiif/obj4/manifest.json,""
obj5,Unknown,Theia,Depiction of statue found under ancient rotunda ,Anno 3536,artifact,Hypernotus,"Basement of temple ruins, located in in Hypernotus",04,imperium_item,imperium,"/img/derivatives/iiif/images/obj5/full/250,/0/default.jpg",/img/derivatives/iiif/obj5/manifest.json,""
obj6,Unknown,Theia,Depiction of the Oneiros,Unknown,artifact,"Anapausis, Hypernotus",Basement of Temple to Selemene,05,imperium_item,imperium,"/img/derivatives/iiif/images/obj6/full/250,/0/default.jpg",/img/derivatives/iiif/obj6/manifest.json,""
obj7,Unknown,Theia,Amphora of the Dreamreaver,Unknown,artifact,"Anapausis, Hypernotus",Basement of Temple to Selemene,06,imperium_item,imperium,"/img/derivatives/iiif/images/obj7/full/250,/0/default.jpg",/img/derivatives/iiif/obj7/manifest.json,""
obj8,"Sadikos, The Laughing Shade",Theia,Map of Crixus,Anno 3536,map,"Crixus, Hypernotus",,07,imperium_item,imperium,"/img/derivatives/iiif/images/obj8/full/250,/0/default.jpg",/img/derivatives/iiif/obj8/manifest.json,""
obj9,Braxus the Archarnian,Theia,Naturalist drawing of Psysserian Silkworms,Anno 3536,sketch,"Crixus, Hypernotus",,08,imperium_item,imperium,"/img/derivatives/iiif/images/obj9/full/250,/0/default.jpg",/img/derivatives/iiif/obj9/manifest.json,"/img/derivatives/iiif/images/obj9/full/1140,/0/default.jpg"
obj10,Braxus the Archarnian,Theia,Naturalist drawing of Psysserian Death Moth,Anno 3536,sketch,"Crixus, Hypernotus",,09,imperium_item,imperium,"/img/derivatives/iiif/images/obj10/full/250,/0/default.jpg",/img/derivatives/iiif/obj10/manifest.json,"/img/derivatives/iiif/images/obj10/full/1140,/0/default.jpg"
obj11,Marko of Vici Umbra,Theia,"Drawing plans of ""The Arca""",Anno 3536,sketch,"Crixus, Hypernotus",Recreation of drawing made by Agrippina Traianus,10,imperium_item,imperium,"/img/derivatives/iiif/images/obj11/full/250,/0/default.jpg",/img/derivatives/iiif/obj11/manifest.json,"/img/derivatives/iiif/images/obj11/full/1140,/0/default.jpg"
