pid,artist,location,label,_date,object_type,current_location,source,order,layout,collection,thumbnail,manifest,full
obj001,Nicodemus the Doran,Theia,Map of the Imperium,Anno 3535,map,Imperium Capital Library of Academia Populai,,00,imperium_item,imperium,"/img/derivatives/iiif/images/obj001/full/250,/0/default.jpg",/img/derivatives/iiif/obj001/manifest.json,"/img/derivatives/iiif/images/obj001/full/1140,/0/default.jpg"
obj002,"Sadikos, The Laughing Shade",Theia,Map of the Journey of 'The Lost',Anno 3536,map,The Lost,,01,imperium_item,imperium,"/img/derivatives/iiif/images/obj002/full/250,/0/default.jpg",/img/derivatives/iiif/obj002/manifest.json,"/img/derivatives/iiif/images/obj002/full/1140,/0/default.jpg"
obj003,Unknown,Theia,"Pottery shard depicting ""Lesser Hundred-Handed One""",Unknown,artifact,The Lost,"Vigil Vault XIII,recovered in Hypernotus",02,imperium_item,imperium,"/img/derivatives/iiif/images/obj003/full/250,/0/default.jpg",/img/derivatives/iiif/obj003/manifest.json,"/img/derivatives/iiif/images/obj003/full/1140,/0/default.jpg"
obj004,Unknown,Theia,Clay tablet incribed with record of Gigantomachy,Unknown,artifact,The Lost,"Vigil Vault XIII,recovered in Hypernotus",03,imperium_item,imperium,"/img/derivatives/iiif/images/obj004/full/250,/0/default.jpg",/img/derivatives/iiif/obj004/manifest.json,"/img/derivatives/iiif/images/obj004/full/1140,/0/default.jpg"
obj005,Unknown,Theia,Depiction of statue found under ancient rotunda ,Anno 3536,artifact,Hypernotus,"Basement of temple ruins, located in in Hypernotus",04,imperium_item,imperium,"/img/derivatives/iiif/images/obj005/full/250,/0/default.jpg",/img/derivatives/iiif/obj005/manifest.json,"/img/derivatives/iiif/images/obj005/full/1140,/0/default.jpg"
obj006,Unknown,Theia,Depiction of the Oneiros,Unknown,artifact,"Anapausis, Hypernotus",Basement of Temple to Selemene,05,imperium_item,imperium,"/img/derivatives/iiif/images/obj006/full/250,/0/default.jpg",/img/derivatives/iiif/obj006/manifest.json,"/img/derivatives/iiif/images/obj006/full/1140,/0/default.jpg"
obj007,Unknown,Theia,Amphora of the Dreamreaver,Unknown,artifact,"Anapausis, Hypernotus",Basement of Temple to Selemene,06,imperium_item,imperium,"/img/derivatives/iiif/images/obj007/full/250,/0/default.jpg",/img/derivatives/iiif/obj007/manifest.json,"/img/derivatives/iiif/images/obj007/full/1140,/0/default.jpg"
obj008,"Sadikos, The Laughing Shade",Theia,Map of Crixus,Anno 3536,map,"Crixus, Hypernotus",,07,imperium_item,imperium,"/img/derivatives/iiif/images/obj008/full/250,/0/default.jpg",/img/derivatives/iiif/obj008/manifest.json,"/img/derivatives/iiif/images/obj008/full/1140,/0/default.jpg"
obj009,Braxus the Archarnian,Theia,Naturalist drawing of Psysserian Silkworms,Anno 3536,sketch,"Crixus, Hypernotus",,08,imperium_item,imperium,"/img/derivatives/iiif/images/obj009/full/250,/0/default.jpg",/img/derivatives/iiif/obj009/manifest.json,"/img/derivatives/iiif/images/obj009/full/1140,/0/default.jpg"
obj010,Braxus the Archarnian,Theia,Naturalist drawing of Psysserian Death Moth,Anno 3536,sketch,"Crixus, Hypernotus",,09,imperium_item,imperium,"/img/derivatives/iiif/images/obj010/full/250,/0/default.jpg",/img/derivatives/iiif/obj010/manifest.json,"/img/derivatives/iiif/images/obj010/full/1140,/0/default.jpg"
obj011,Marko of Vici Umbra,Theia,"Drawing plans of ""The Arca""",Anno 3536,sketch,"Crixus, Hypernotus",Recreation of drawing made by Agrippina Traianus,10,imperium_item,imperium,"/img/derivatives/iiif/images/obj011/full/250,/0/default.jpg",/img/derivatives/iiif/obj011/manifest.json,"/img/derivatives/iiif/images/obj011/full/1140,/0/default.jpg"
